user_screen_name,created_at,text,hashtags,user_name,user_location,retweet_count,favorite_count
LataVPai,2023-01-05 15:38:09+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Lata,,104,0
isunilkataria,2023-01-05 15:11:52+00:00,"Once denied entry into #india for supporting #FarmersProtest, Dr. Darshan Singh Dhaliwal (US) now picked for ‘Prava… https://t.co/C4kNeTZmuc","['india', 'FarmersProtest']",Sᴜɴɪʟ Kᴀᴛᴀʀɪᴀ,New Delhi and Chandigarh,1,1
sidhuvarinder61,2023-01-05 15:00:26+00:00,"@jagpreetmaan20 Baki #FarmersProtest vele me ta iko kam kita Be careful of BJP IT CELL 

Te Hun menu lagda double k… https://t.co/wVSQ8Y1tv6",['FarmersProtest'],Varinder Sidhu,"Patiala, Punjab, India",1,1
simarsaharan,2023-01-05 14:55:08+00:00,"RT @_MohitGahlot_: As long as corrupt nexus of capitalists &amp; politicians continues in the country, farmers &amp; laborers, economic &amp; political…",[],Simarsaharan,,21,0
AshwaniR2,2023-01-05 14:28:54+00:00,@SPrabhaker UCC is a dream now after what happens during CAA and #FarmersProtest .,['FarmersProtest'],Ashwani Raj Chandel,New Delhi / Kushinagar,1,2
itzamitsinghlko,2023-01-05 14:15:58+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],AMIT SINGH,"Lucknow, India",104,0
PoeticJFdn,2023-01-05 14:00:00+00:00,"Still I Rise, #FarmersProtest mural, Calgary.

Image Source: @CBCNews 

#pjfmurals #FarmersProtest https://t.co/29vMVAfYHW","['FarmersProtest', 'pjfmurals', 'FarmersProtest']",Poetic Justice Foundation,,1,1
ChiragGoelIndia,2023-01-05 13:53:19+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Chirag Goel,,104,0
augustier,2023-01-05 13:50:41+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Pradeep PK_81,,104,0
hanmireddy,2023-01-05 13:33:12+00:00,"RT @jsuryareddy: Tension erupts after #FarmersProtest in #Kamareddy and tried to siege of the Collectorate office, after broke police barri…","['FarmersProtest', 'Kamareddy']",pala hanmi reddy,"Hyderabad, Telangana",3,0
Baljind98969947,2023-01-05 12:59:44+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Baljinder Singh,Delhi ,104,0
Sandeep13082000,2023-01-05 12:47:22+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Sandeep,"Munich, Bavaria",104,0
vashishtvp,2023-01-05 12:27:15+00:00,"RT @_Orwellian: Modi govt paddles lies, #Jumlabaazi and narratives. Has any of the promises made by it to #IndianFarmers during #FarmersPro…","['Jumlabaazi', 'IndianFarmers']",Er. V P Vashisht,"Kapurthala, Punjab - INDIA",1,0
jsuryareddy,2023-01-05 11:49:05+00:00,"Tension erupts after #FarmersProtest in #Kamareddy and tried to siege of the Collectorate office, after broke polic… https://t.co/FwDtrT4X6p","['FarmersProtest', 'Kamareddy']",Surya Reddy,Hyderabad,3,6
Ishivampanwar,2023-01-05 11:40:24+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Shivam Panwar,Mars se hu lawde😂,104,0
_Orwellian,2023-01-05 11:34:33+00:00,"RT @_CEDILRI: Modi govt paddles lies, #Jumlabaazi and narratives. Has any of the promises made by it to #IndianFarmers during #FarmersProte…","['Jumlabaazi', 'IndianFarmers']",Digital Panopticon Of #IndiaAt75,"New Delhi, India",3,0
_Orwellian,2023-01-05 11:34:32+00:00,"Modi govt paddles lies, #Jumlabaazi and narratives. Has any of the promises made by it to #IndianFarmers during… https://t.co/qktaFSFJTW","['Jumlabaazi', 'IndianFarmers']",Digital Panopticon Of #IndiaAt75,"New Delhi, India",1,1
_Orwellian,2023-01-05 11:30:51+00:00,"RT @WhatsAppLaws: @IMPraveenDalal @P4LOIndia Modi govt paddles lies, #Jumlabaazi and narratives. Has any of the promises made by it to #Ind…",['Jumlabaazi'],Digital Panopticon Of #IndiaAt75,"New Delhi, India",4,0
sabrinadh,2023-01-05 11:22:37+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],sabarinadh M 🇮🇳,,104,0
piyali8331,2023-01-05 11:13:13+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Piyali,alive,104,0
ShailjaSgh,2023-01-05 11:07:28+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Shailja Singh,,104,0
_financiallaws,2023-01-05 11:03:05+00:00,"RT @WhatsAppLaws: @IMPraveenDalal @P4LOIndia Modi govt paddles lies, #Jumlabaazi and narratives. Has any of the promises made by it to #Ind…",['Jumlabaazi'],Global Techno Legal Financial Laws And Regulations,"New Delhi, India",4,0
BikashG44983557,2023-01-05 11:02:17+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Bikash Goswami,,104,0
Hichmalumnist,2023-01-05 10:54:48+00:00,"RT @IndicSociety: In 2021, #DarshanSinghDhaliwal was denied entry at Delhi &amp; deported back to Chigaco for activities related to the #Farmer…",['DarshanSinghDhaliwal'],Hichmalumnist,,104,0
_financiallaws,2023-01-05 10:53:15+00:00,"RT @_CEDILRI: Modi govt paddles lies, #Jumlabaazi and narratives. Has any of the promises made by it to #IndianFarmers during #FarmersProte…","['Jumlabaazi', 'IndianFarmers']",Global Techno Legal Financial Laws And Regulations,"New Delhi, India",3,0
